Name,WD17NM_x,HPrice,medIncome,Tquantity,CrimRate,FareZone,Perof65years,drivingTime,PTransportTime,TPopulation,AreaKm2,PeoplePerkm2,Av GCSE 2013,GrnSpacem2T,Cemissions,TTprimaryS,TTsecodS,TTGP,TTHosp,TTfoodSt,pcds
City of London 001A,Aldersgate,935000,66790,34,64,1,22.7,6,16,1513,0.13,11656,497,22.1,152,10,10,7,7,5,EC2Y 8NJ
City of London 001B,Cripplegate,849950,67750,39,624,1,22.9,4,11,1522,0.23,6664,517,17.1,124,8,9,8,11,5,EC2Y 8BL
City of London 001C,Aldersgate,760000,55390,73,95,1,19,7,17,1371,0.06,23198,454,7.4,122,5,5,5,10,5,EC2Y 8BS
City of London 001E,Portsoken,520000,47840,4,119,1,10.6,5,15,1356,0.19,7152,576,14.8,151,8,10,8,11,6,E1 7EE
Barking and Dagenham 016A,Abbey,411000,39040,10,58,4,9.5,46,44,1849,0.15,12613,440,3,92,8,7,6,26,5,IG11 9XD
Barking and Dagenham 015A,Abbey,241040,33760,16,217,4,4.4,46,41,1588,0.2,7940,475,48.2,105,5,10,5,28,6,IG11 8BS
Barking and Dagenham 015B,Abbey,205000,32130,7,61,4,2.8,42,48,1617,0.2,8288,475,87.9,112,5,13,5,34,9,IG11 8AD
Barking and Dagenham 016B,Abbey,320000,35930,7,138,4,10.6,46,40,1795,0.13,14034,446,5.9,99,9,8,5,24,5,IG11 9XJ
Barking and Dagenham 015C,Abbey,228117,36170,31,350,4,5.8,40,45,3309,0.35,9398,441,87,103,6,10,6,30,5,IG11 7QE
Barking and Dagenham 016C,Abbey,382500,35610,9,57,4,7.6,45,46,1643,0.09,17917,469,2.3,97,10,10,10,28,6,IG11 8QZ
Barking and Dagenham 015D,Abbey,215000,34500,16,89,4,4.8,46,47,1956,0.14,14072,442,21,100,6,12,6,40,8,IG11 8LB
Barking and Dagenham 013A,Alibon,300000,33990,13,170,5,13.9,54,54,1796,0.21,8643,382,15.8,92,6,10,6,24,5,RM9 5PP
